Page URL,5xx errors,4xx errors,Title tag is missing or empty,Duplicate title tag,Duplicate content,Broken internal links,Pages not crawled,DNS resolution issue,We couldn't open the page?s URL,Broken external links,Broken internal images,Broken external images,Duplicate meta descriptions,Invalid robots.txt format,Invalid sitemap.xml format,Incorrect pages found in sitemap.xml,www resolve issues,Viewport not configured,Large HTML page size,Missing canonical tags in AMP pages,Issues with hreflang values,Hreflang conflicts within page source code,Issues with incorrect hreflang links,Non-secure pages,Certificate Expiration,Old security protocol version,Certificate registered to incorrect name,Issues with mixed content,Links lead to HTTP pages for HTTPS site,Neither canonical URL nor 301 redirect from HTTP homepage,Redirect chains and loops,AMP Pages with HTML Issues,AMP Pages with Style and Layout Issues,AMP Pages with Templating Issues,Broken canonical URLs,Multiple canonical URLs,Meta refresh redirects,Broken internal JavaScript and CSS files,Insecure encryption algorithms,Sitemap file too large,Malformed links,Structured data that contains markup errors,Viewport width not set,Title element is too short,Title element is too long,Missing h1,Multiple h1 tags,Duplicate content in h1 and title,Missing meta description,Too many on-page links,Temporary redirects,Missing ALT attributes,Slow page load speed,Low text to HTML ratio,Too many URL parameters,Missing hreflang and lang attributes,Encoding not declared,Doctype not declared,Low word count,Incompatible plugins used,Frames used,Underscores in URL,Nofollow attributes in internal links,Sitemap.xml not specified in robots.txt,Sitemap.xml not found,HTTPS encryption not used,No SNI support,HTTP URLs in sitemap.xml for HTTPS site,Uncompressed pages,Disallowed internal resources,Uncompressed JavaScript and CSS files,Uncached JavaScript and CSS files,Too large JavaScript and CSS total size,Too many JavaScript and CSS files,Unminified JavaScript and CSS files,Warning - Too long URLs,Llms.txt not found,Blocked from crawling,Too long URLs,Nofollow attributes in external links,Robots.txt not found,Hreflang language mismatch issues,No HSTS support,Orphaned pages (Google Analytics),Orphaned sitemap pages,Pages have high Document Interactive Time,Blocked by X-Robots-Tag: noindex HTTP header,Disallowed external resources,Broken external JavaScript and CSS files,Page crawl depth,Pages with only one internal link,Permanent redirects,Resources formatted as page links,Links with no anchor text,Links with non-descriptive anchor text,External pages or resources with 403 HTTP status code,Llms.txt has formatting issues,Too much content,Outdated content,Low Semantic HTML usage,Content not optimized
https://www.webnovis.com/,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.webnovis.com/zone-servite/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.webnovis.com/portfolio.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.webnovis.com/agenzia-web/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.webnovis.com/servizi/sviluppo-web.html,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.webnovis.com/realizzazione-siti-web/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.webnovis.com/cookie-policy.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
https://www.webnovis.com/blog/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.webnovis.com/servizi/graphic-design.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.webnovis.com/privacy-policy.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
